=== Resultados de búsqueda de hipertensión ===
Total de líneas analizadas: 95794
Total de líneas con hipertensión: 2050
Total de apariciones totales: 2129

Línea - Apariciones
Línea 8174: 1 vez(s)
Línea 8176: 1 vez(s)
Línea 8181: 1 vez(s)
Línea 8188: 1 vez(s)
Línea 8191: 1 vez(s)
Línea 8346: 1 vez(s)
Línea 8347: 1 vez(s)
Línea 8353: 1 vez(s)
Línea 8385: 1 vez(s)
Línea 8389: 1 vez(s)
Línea 8391: 1 vez(s)
Línea 8525: 1 vez(s)
Línea 8708: 1 vez(s)
Línea 8715: 1 vez(s)
Línea 8718: 1 vez(s)
Línea 8730: 2 vez(s)
Línea 8993: 1 vez(s)
Línea 9009: 1 vez(s)
Línea 9042: 1 vez(s)
Línea 9063: 1 vez(s)
Línea 9068: 1 vez(s)
Línea 9069: 1 vez(s)
Línea 9168: 1 vez(s)
Línea 9177: 1 vez(s)
Línea 9182: 1 vez(s)
Línea 9583: 1 vez(s)
Línea 9594: 1 vez(s)
Línea 9605: 1 vez(s)
Línea 9644: 1 vez(s)
Línea 9665: 1 vez(s)
Línea 9667: 1 vez(s)
Línea 9785: 1 vez(s)
Línea 9791: 1 vez(s)
Línea 9804: 1 vez(s)
Línea 9904: 1 vez(s)
Línea 9907: 1 vez(s)
Línea 9914: 1 vez(s)
Línea 10108: 1 vez(s)
Línea 10111: 1 vez(s)
Línea 10116: 1 vez(s)
Línea 10166: 1 vez(s)
Línea 10170: 1 vez(s)
Línea 10183: 1 vez(s)
Línea 10252: 1 vez(s)
Línea 10255: 1 vez(s)
Línea 10275: 1 vez(s)
Línea 10330: 1 vez(s)
Línea 10332: 1 vez(s)
Línea 10336: 1 vez(s)
Línea 10515: 1 vez(s)
Línea 10518: 1 vez(s)
Línea 10522: 1 vez(s)
Línea 10766: 1 vez(s)
Línea 10774: 1 vez(s)
Línea 10776: 1 vez(s)
Línea 10779: 1 vez(s)
Línea 10781: 1 vez(s)
Línea 10796: 1 vez(s)
Línea 10799: 4 vez(s)
Línea 10857: 1 vez(s)
Línea 10861: 1 vez(s)
Línea 10864: 1 vez(s)
Línea 10963: 1 vez(s)
Línea 10965: 1 vez(s)
Línea 11197: 1 vez(s)
Línea 11223: 1 vez(s)
Línea 11231: 1 vez(s)
Línea 11234: 1 vez(s)
Línea 11240: 1 vez(s)
Línea 11242: 1 vez(s)
Línea 11343: 1 vez(s)
Línea 11350: 1 vez(s)
Línea 11410: 1 vez(s)
Línea 11415: 1 vez(s)
Línea 11442: 1 vez(s)
Línea 11443: 1 vez(s)
Línea 11444: 1 vez(s)
Línea 11586: 1 vez(s)
Línea 11592: 1 vez(s)
Línea 11595: 1 vez(s)
Línea 11952: 1 vez(s)
Línea 11957: 1 vez(s)
Línea 12060: 1 vez(s)
Línea 12062: 1 vez(s)
Línea 12071: 1 vez(s)
Línea 12080: 1 vez(s)
Línea 12144: 1 vez(s)
Línea 12147: 1 vez(s)
Línea 12151: 1 vez(s)
Línea 12268: 1 vez(s)
Línea 12272: 1 vez(s)
Línea 12284: 1 vez(s)
Línea 12291: 1 vez(s)
Línea 12293: 1 vez(s)
Línea 12300: 1 vez(s)
Línea 12307: 1 vez(s)
Línea 12308: 3 vez(s)
Línea 12395: 1 vez(s)
Línea 12438: 1 vez(s)
Línea 12482: 1 vez(s)
Línea 12757: 1 vez(s)
Línea 12759: 1 vez(s)
Línea 12763: 1 vez(s)
Línea 12794: 1 vez(s)
Línea 12798: 1 vez(s)
Línea 12799: 1 vez(s)
Línea 12803: 2 vez(s)
Línea 12914: 1 vez(s)
Línea 12924: 1 vez(s)
Línea 12934: 1 vez(s)
Línea 13115: 1 vez(s)
Línea 13315: 1 vez(s)
Línea 13327: 1 vez(s)
Línea 13341: 1 vez(s)
Línea 13352: 1 vez(s)
Línea 13353: 1 vez(s)
Línea 13358: 1 vez(s)
Línea 13365: 1 vez(s)
Línea 13372: 1 vez(s)
Línea 13378: 1 vez(s)
Línea 13379: 1 vez(s)
Línea 13382: 1 vez(s)
Línea 13386: 1 vez(s)
Línea 13469: 1 vez(s)
Línea 13502: 1 vez(s)
Línea 13526: 1 vez(s)
Línea 14075: 1 vez(s)
Línea 14086: 1 vez(s)
Línea 14090: 1 vez(s)
Línea 14093: 1 vez(s)
Línea 14115: 1 vez(s)
Línea 14141: 1 vez(s)
Línea 14287: 1 vez(s)
Línea 14289: 1 vez(s)
Línea 14293: 1 vez(s)
Línea 14544: 1 vez(s)
Línea 14553: 1 vez(s)
Línea 14559: 1 vez(s)
Línea 14738: 1 vez(s)
Línea 14749: 1 vez(s)
Línea 14750: 1 vez(s)
Línea 14856: 1 vez(s)
Línea 14972: 1 vez(s)
Línea 15076: 1 vez(s)
Línea 15083: 1 vez(s)
Línea 15096: 1 vez(s)
Línea 15109: 1 vez(s)
Línea 15111: 1 vez(s)
Línea 15117: 1 vez(s)
Línea 15314: 1 vez(s)
Línea 15324: 1 vez(s)
Línea 15435: 1 vez(s)
Línea 15438: 1 vez(s)
Línea 15440: 1 vez(s)
Línea 15489: 1 vez(s)
Línea 15493: 1 vez(s)
Línea 15496: 1 vez(s)
Línea 15502: 1 vez(s)
Línea 15507: 1 vez(s)
Línea 15513: 1 vez(s)
Línea 15577: 1 vez(s)
Línea 15579: 1 vez(s)
Línea 15771: 1 vez(s)
Línea 15773: 1 vez(s)
Línea 15847: 1 vez(s)
Línea 15852: 1 vez(s)
Línea 15863: 1 vez(s)
Línea 16284: 1 vez(s)
Línea 16333: 1 vez(s)
Línea 16343: 1 vez(s)
Línea 16348: 1 vez(s)
Línea 16351: 1 vez(s)
Línea 16401: 1 vez(s)
Línea 16414: 1 vez(s)
Línea 16430: 1 vez(s)
Línea 16592: 1 vez(s)
Línea 16613: 1 vez(s)
Línea 16624: 1 vez(s)
Línea 16661: 1 vez(s)
Línea 16672: 1 vez(s)
Línea 16751: 1 vez(s)
Línea 16756: 1 vez(s)
Línea 16766: 1 vez(s)
Línea 16780: 1 vez(s)
Línea 16807: 1 vez(s)
Línea 16808: 1 vez(s)
Línea 17009: 1 vez(s)
Línea 17015: 1 vez(s)
Línea 17031: 1 vez(s)
Línea 17265: 1 vez(s)
Línea 17268: 1 vez(s)
Línea 17272: 1 vez(s)
Línea 17343: 1 vez(s)
Línea 17352: 1 vez(s)
Línea 17381: 1 vez(s)
Línea 17388: 1 vez(s)
Línea 17401: 1 vez(s)
Línea 17413: 1 vez(s)
Línea 17415: 1 vez(s)
Línea 17420: 1 vez(s)
Línea 17695: 1 vez(s)
Línea 17696: 1 vez(s)
Línea 17699: 2 vez(s)
Línea 17894: 1 vez(s)
Línea 17900: 1 vez(s)
Línea 17901: 2 vez(s)
Línea 17964: 1 vez(s)
Línea 17970: 1 vez(s)
Línea 17981: 1 vez(s)
Línea 18283: 1 vez(s)
Línea 18285: 1 vez(s)
Línea 18290: 1 vez(s)
Línea 18339: 1 vez(s)
Línea 18342: 1 vez(s)
Línea 18347: 1 vez(s)
Línea 18353: 1 vez(s)
Línea 18417: 1 vez(s)
Línea 18424: 1 vez(s)
Línea 18430: 1 vez(s)
Línea 18545: 1 vez(s)
Línea 18551: 1 vez(s)
Línea 19062: 1 vez(s)
Línea 19065: 1 vez(s)
Línea 19090: 1 vez(s)
Línea 19121: 1 vez(s)
Línea 19147: 1 vez(s)
Línea 19353: 1 vez(s)
Línea 19489: 1 vez(s)
Línea 19492: 1 vez(s)
Línea 19495: 1 vez(s)
Línea 19776: 1 vez(s)
Línea 19781: 1 vez(s)
Línea 19787: 1 vez(s)
Línea 19929: 1 vez(s)
Línea 19939: 1 vez(s)
Línea 19943: 1 vez(s)
Línea 19949: 1 vez(s)
Línea 19950: 3 vez(s)
Línea 20011: 1 vez(s)
Línea 20020: 1 vez(s)
Línea 20022: 1 vez(s)
Línea 20052: 1 vez(s)
Línea 20053: 1 vez(s)
Línea 20056: 1 vez(s)
Línea 20060: 1 vez(s)
Línea 20063: 1 vez(s)
Línea 20108: 1 vez(s)
Línea 20124: 1 vez(s)
Línea 20127: 1 vez(s)
Línea 20310: 1 vez(s)
Línea 20314: 1 vez(s)
Línea 20317: 1 vez(s)
Línea 20331: 1 vez(s)
Línea 20334: 1 vez(s)
Línea 20350: 2 vez(s)
Línea 20491: 1 vez(s)
Línea 20500: 1 vez(s)
Línea 20525: 1 vez(s)
Línea 20533: 1 vez(s)
Línea 20540: 1 vez(s)
Línea 20544: 1 vez(s)
Línea 20548: 1 vez(s)
Línea 20551: 1 vez(s)
Línea 20556: 2 vez(s)
Línea 21370: 1 vez(s)
Línea 21449: 1 vez(s)
Línea 21457: 1 vez(s)
Línea 21460: 1 vez(s)
Línea 21632: 1 vez(s)
Línea 21650: 1 vez(s)
Línea 21657: 1 vez(s)
Línea 21735: 1 vez(s)
Línea 21745: 1 vez(s)
Línea 21754: 1 vez(s)
Línea 21782: 1 vez(s)
Línea 21787: 1 vez(s)
Línea 21789: 1 vez(s)
Línea 21893: 1 vez(s)
Línea 21898: 1 vez(s)
Línea 21935: 1 vez(s)
Línea 22096: 1 vez(s)
Línea 22098: 1 vez(s)
Línea 22105: 1 vez(s)
Línea 22113: 1 vez(s)
Línea 22117: 1 vez(s)
Línea 22140: 1 vez(s)
Línea 22142: 1 vez(s)
Línea 22147: 1 vez(s)
Línea 22292: 1 vez(s)
Línea 22298: 1 vez(s)
Línea 22495: 1 vez(s)
Línea 22501: 1 vez(s)
Línea 22508: 1 vez(s)
Línea 22566: 1 vez(s)
Línea 22568: 1 vez(s)
Línea 22721: 1 vez(s)
Línea 22725: 1 vez(s)
Línea 22731: 1 vez(s)
Línea 22743: 1 vez(s)
Línea 22747: 1 vez(s)
Línea 22748: 1 vez(s)
Línea 22749: 1 vez(s)
Línea 22752: 2 vez(s)
Línea 22754: 1 vez(s)
Línea 22758: 1 vez(s)
Línea 22768: 1 vez(s)
Línea 23045: 1 vez(s)
Línea 23224: 1 vez(s)
Línea 23473: 1 vez(s)
Línea 23474: 1 vez(s)
Línea 23485: 1 vez(s)
Línea 23490: 1 vez(s)
Línea 23497: 1 vez(s)
Línea 23601: 1 vez(s)
Línea 23602: 1 vez(s)
Línea 23716: 1 vez(s)
Línea 23722: 1 vez(s)
Línea 23732: 1 vez(s)
Línea 23872: 1 vez(s)
Línea 23875: 1 vez(s)
Línea 23877: 1 vez(s)
Línea 23880: 1 vez(s)
Línea 23890: 1 vez(s)
Línea 23898: 1 vez(s)
Línea 23956: 1 vez(s)
Línea 23970: 1 vez(s)
Línea 23979: 1 vez(s)
Línea 24117: 1 vez(s)
Línea 24121: 1 vez(s)
Línea 24124: 1 vez(s)
Línea 24131: 2 vez(s)
Línea 24332: 1 vez(s)
Línea 24340: 1 vez(s)
Línea 24346: 1 vez(s)
Línea 24370: 1 vez(s)
Línea 24372: 1 vez(s)
Línea 24375: 1 vez(s)
